Document Title,Authors,Publication Year,DOI,PDF Link,Keywords,Abstract,Venue
"""Unknown Attack Detection Based on Zero-Shot Learning""",Z. Zhang; Q. Liu; S. Qiu; S. Zhou; C. Zhang;,2020,10.1109/ACCESS.2020.3033494,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9239385,Zero-shot learning;network intrusion;unknown attack detection;sparse semantic autoencoder;,"""In recent years, due to the frequent occurrence of network intrusions, more and more researchers have begun to focus on network intrusion detection. However, it is still a challenge to detect unknown attacks. Currently, there are two main methods of unknown attack detection: clustering and honeypot. But they still have unsolved problems such as difficulty in collecting unknown attack samples and failure to detect on time. Zero-Shot learning is proposed to deal with the problem in this article, which can recognize unknown attacks by learning the mapping relations between feature space and semantic space (such as attribute space). When the semantic descriptions of all attacks (including known and unknown attacks) are provided, the classifier built by Zero-Shot learning can extract common semantic information among all attacks and construct connections between known and unknown attacks. The classifier then utilizes the connections to classify unknown attacks although there are no samples for unknown attacks. In this article, we first propose to use Zero-Shot learning to overcome the challenge of unknown attack detection and illustrate the feasibility of this method. Secondly, we then propose a novel method of Zero-Shot learning based on sparse autoencoder for unknown attack detection. This method maps the feature of known attacks to the semantic space, and restores the semantic space to the feature space by constrains of reconstruction error, and establishes the feature to semantic mapping, which is used to detect unknown attacks. Verification tests have been carried out by using the public dataset NSL_KDD. From the experiments conducted in this work, the results show that the average accuracy reaches 88.3%, which performs better than other methods.""",IEEE Access
"""An Optimized GP-GPU Warp Scheduling Algorithm for Sparse Matrix-Vector Multiplication""",L. Liu; M. Liu; C. -J. Wang;,2013,10.1109/NAS.2013.35,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=6665367,GPU;scheduling;SpMV;data locality;multicore;manycore;,"""GP-GPUs have been used as the platform for many applications due to their powerful computation ability and massively parallel features. In this paper, we first investigate the CSR sparse matrix format, the performance of existing optimized SpMV (Sparse matrix-vector multiplication) algorithms, and analyze the memory access patterns of the SpMV algorithms. Based on the analysis of the memory access patterns, we propose a new thread scheduling technique that can take advantage of inter-warp locality and intra-warp locality simultaneously, and also can achieve memory coalescing automatically. This proposed new scheduling technique will change the memory access pattern of SpMVs significantly. The simulation results show that the performance of the SpMV using the new proposed thread scheduling technique achieves much better performance than the implementation of the SpMV optimized by other techniques.""","2013 IEEE Eighth International Conference on Networking, Architecture and Storage"
"""Landslide Susceptibility Prediction Using Sparse Feature Extraction and Machine Learning Models Based on GIS and Remote Sensing""",L. Zhu; G. Wang; F. Huang; Y. Li; W. Chen; H. Hong;,2022,10.1109/LGRS.2021.3054029,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9350108,Geographic information system (GIS);landslide susceptibility prediction (LSP);neural network;remote sensing (RS);sparse feature extraction (SFE);,"""Landslide susceptibility prediction (LSP) is a useful technology for landslide prevention. Due to the complex nonlinear correlations among environmental factors, traditional machine learning (ML) models have unsatisfactory LSP accuracies. In this letter, a sparse feature extraction network (SFE+) is proposed for LSP. First, the landslides and environmental factors are collected, and frequency ratios of environmental factors are calculated as the model inputs. Second, the input data are passed through the input layer with the dropout, and then, the features are passed through the hidden layers, that is, the k% lifetime sparsity layers. The hidden layers are employed to further sparse these factors to obtain the independent and redundant prediction features as much as possible. Finally, certain classifiers are used to realize the LSP in the study area. SFE-support vector machine (SVM), SFE-logistic regression (LR), and SFE-stochastic gradient descent (SGD) models are built. For comparison, principal component analysis (PCA)-SVM, PCA-LR, PCA-SGD, SVM, LR, and SGD models are also built for LSP in Shicheng County, China. Results show that the SFE-based ML models, especially the SFE-SVM, can effectively extract the sparse nonlinear features of environmental factors to improve LSP accuracies and have promising prospects for LSP.""",IEEE Geoscience and Remote Sensing Letters
"""Recognize human activities from multi-part missing videos""",K. Xu; Z. Qin; G. Wang;,2016,10.1109/ICME.2016.7552941,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=7552941,Activity recognition;sparse representation;combinatorial dictionary;multi-part missing;,"""Recognizing human activities from multi-part missing videos is a challenge problem. When the multiple missing parts are continuous, the problem is reduced to activity recognition in videos with single part missing at any position which is focused on by many researches. However, in many practical applications, some temporal gaps always appear in captured videos due to random frame loss(e.g. noise interfere). To solve this problem, we propose a novel framework: 1) dividing each video into multiple equal-length segments, where the local spatio-temporal features extracted; 2) concatenating combinatorial sparse activity dictionaries, formed by over-complete dictionary of each segment; 3) computing combinatorial sparse coefficients of each segment, based on activity dictionaries above; 4) formulating probability of each activity to estimate the correct class. Our experiments achieve superior performance not only in videos with single part missing at any position, but also in videos with multiple parts missing.""",2016 IEEE International Conference on Multimedia and Expo (ICME)
"""UAV as a Data Ferry for a Sparse Adaptive WSN""",P. A. Karegar; A. Al-Anbuky;,2022,10.1109/APCC55198.2022.9943645,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9943645,Unmanned Aerial Vehicle (UAV);Wireless Sensor Networks (WSN);Fuzzy UAV route;UAV path Planning;,"""Using UAVs as mobile data ferries can amplify ground network performance by mitigating the impact of horizontal radio pollution on the environment. Designing an energy-efficient UAV communication with a randomly distributed ground sensors via enhancing the ground network structure dependent to the UAV path has been one of the challenges for the UAV-assisted WSN data gathering efforts. This paper aims at developing an approach called ‘UAV Fuzzy Travel Path’ that supports UAV smooth trajectory planning in gathering data of distributed wireless sensors over a large space. The dynamic orchestration of ground wireless sensors grouping has been considered in this paper for improving the network performance in data collection. This offers a more dynamic and flexible network that interact with the UAV planned path. Preliminary results of testbed simulations reflect that the proposed software define ground network system has presented promising outcomes in terms of network performances such as network latency and packet delivery rate. Further work is required for testing the scheme on a wider range of software defined WSN and UAV flight formations.""",2022 27th Asia Pacific Conference on Communications (APCC)
"""Phaseless Planar Near-far Field Transformation Based on Low-rank Matrix Completion Method""",G. Sun; T. Ni; K. Xue; C. Zhang; Z. Weng; D. Hou;,2023,10.1109/EMCSIPI50001.2023.10241726,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10241726,Compressive sensing;Low-rank matrix completion;Phaseless near-far field transformation;Sparse sampling;Outdoor near-field measurement;,"""With the diversified development of antenna shapes, outdoor near-field measurement technology for large antennas and electromagnetic equipment has received extensive attention. However, the required near-field scanning plane is large and time-consuming for such antennas. In addition, the positioning accuracy of sampling points decreased due to the use of mobile devices instead of near-field scanning frames. In order to solve the problems mentioned above, this paper proposes a phaseless near-far field transformation method based on low-rank matrix completion for outdoor near-field measurement. In this paper, the Square Kilometre Array (SKA) element is taken as the antenna under tested (AUT), the Ansoft HFSS and MATLAB software are used for simulation. It is found that for 50% sparse matrix and 60% sparse matrix, the relative error of electric field amplitude completion is less than 0.0334 and 0.0118, respectively. The far-field pattern of the AUT is calculated by substituting a 50% sparse matrix into the near-far field transformation method proposed in this paper. The average error between the calculated value and the simulated value of the pattern is less than 0.5684dB. It can be considered that the proposed method can realize phaseless planar near-far field transformation under sparse sampling.""",2023 IEEE Symposium on Electromagnetic Compatibility & Signal/Power Integrity (EMC+SIPI)
"""Research on Determination of Overloaded Function Uniqueness for Regression Testing Oriented""",S. Qi; Y. -m. Mu; Z. -h. Zhang; K. -q. Peng;,2010,10.1109/ICIECS.2010.5678400,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=5678400,;,"""Function call path testing is based on static analysis of source code. The relationship between the definitions of the overloaded function and the call points is uncertain in the static analysis, which will produce a great deal of redundant paths and increase the cost of the testing. In order to determine the paths of the actual process and get function call relation, firstly, we need to determine the uniqueness of the overloaded function. We analyze the form of the overloaded function call from several aspects, design the algorithm of DUOF(determining the uniqueness of the overloaded function), ultimately determine its unique, by analyzing the realization mechanism of overloaded functions and applying the theory of compile and object-oriented. The experiment's result shows that the result of its implementation is not only accurate but also can improve the efficiency of regression testing, efficiency of the algorithm is more significant especially when the amount of code is larger.""",2010 2nd International Conference on Information Engineering and Computer Science
"""Application of a Simple, Spiking, Locally Competitive Algorithm to Radionuclide Identification""",M. Carson; W. Woods; S. Reynolds; M. Wetzel; A. J. Morton; A. A. Hecht; M. Osiński; C. Teuscher;,2021,10.1109/TNS.2021.3054608,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9335987,Compton scatter;gamma-ray;identification;locally competitive algorithm (LCA);memristor;neuromorphic;power efficient;radionuclide;simple spiking LCA (SSLCA);sparse coding;spectrum;spiking architecture;,"""Many radionuclide identification algorithms use statistical inference to collect a variety of features from gamma-ray spectra to deduce the presence of particular radionuclides. More modern algorithms require large amounts of data to learn and use latent features from spectra for classification. Both approaches are computationally expensive, which is reflected in their power consumption, and require large amounts of user intervention to prepare. In this article, we introduce a low-power, neuromorphic algorithm for the real-time identification of radionuclides which simultaneously considers the entire shape of a gamma-ray spectrum. Utilizing the output of a traditional gamma-ray detector, our spiking, locally competitive algorithm uses sparse coding optimization to compare global patterns in a gamma-ray spectrum with a dictionary of radionuclide templates. This approach allows us to model informative global features resulting from both photoelectric absorption and Compton scattering. For the purpose of radiation threat reduction, the dictionary consists of data from the Nuclear Wallet Cards, a list of radionuclides and their properties compiled by the National Nuclear Data Center. To test our algorithm, we use a variety of gamma-ray spectra created using radionuclides measured under laboratory conditions with varying durations, distances, activity levels, and backgrounds, resulting in a wide range of signal-to-noise ratios. We have created test sets for three different gamma-ray detector types, with 57Co, 137Cs, 152Eu, 60Co, 239Pu, and 235U sources, to quantify the effect of resolution, efficiency, and background on the accuracy of the algorithm. We demonstrate a true positive accuracy of 91% with a high-resolution detector and 89% with a low-resolution detector on the corresponding test sets. Experimenting with the same radionuclides included in the test sets in a variety of special nuclear material (SNM) masking configurations, we show that our algorithm is capable of correctly identifying both SNM and mask even when the activity level of the mask is several times higher than that of the SNM. We also determine that our algorithm achieves over a 99% reduction in power consumption over other radionuclide identification software applications, which is critical for long-term, independent monitoring and is the goal of this research.""",IEEE Transactions on Nuclear Science
"""Semi-Supervised Autoencoder: A Joint Approach of Representation and Classification""",W. Haiyan; Y. Haomin; L. Xueming; R. Haijun;,2015,10.1109/CICN.2015.275,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=7546333,semi-supervised Autoencoder;deep learning;logistic regression;Sparse Autoencoder;,"""Recent years have witnessed the significant success of representation learning and deep learning in various prediction and recognition applications. Most of these previous studies adopt the two-phase procedures, namely the first step of representation learning and then the second step of supervised learning. In this process, to fit the training data the initial model weights, which inherits the good properties from the representation learning in the first step, will be changed in the second step. In other words, the second step leans better classification models at the cost of the possible deterioration of the effectiveness of representation learning. Motivated by this observation we propose a joint framework of representation and supervised learning. It aims to learn a model, which not only guarantees the ""semantics"" of the original data from representation learning but also fit the training data well via supervised learning. Along this line we develop the model of semi-supervised Auto encoder under the spirit of the joint learning framework. The experiments on various data sets for classification show the significant effectiveness of the proposed model.""",2015 International Conference on Computational Intelligence and Communication Networks (CICN)
"""Fuzzy KNN Method With Adaptive Nearest Neighbors""",Z. Bian; C. M. Vong; P. K. Wong; S. Wang;,2022,10.1109/TCYB.2020.3031610,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9269360,Decision tree;fuzzy k-nearest-neighbor method (FKNN);nearest neighbors;sparse representation/reconstruction;,"""Due to its strong performance in handling uncertain and ambiguous data, the fuzzy  ${k}$ -nearest-neighbor method (FKNN) has realized substantial success in a wide variety of applications. However, its classification performance would be heavily deteriorated if the number k of nearest neighbors was unsuitably fixed for each testing sample. This study examines the feasibility of using only one fixed k value for FKNN on each testing sample. A novel FKNN-based classification method, namely, fuzzy KNN method with adaptive nearest neighbors (A-FKNN), is devised for learning a distinct optimal k value for each testing sample. In the training stage, after applying a sparse representation method on all training samples for reconstruction, A-FKNN learns the optimal  ${k}$  value for each training sample and builds a decision tree (namely, A-FKNN tree) from all training samples with new labels (the learned optimal  ${k}$  values instead of the original labels), in which each leaf node stores the corresponding optimal  ${k}$  value. In the testing stage, A-FKNN identifies the optimal  ${k}$  value for each testing sample by searching the A-FKNN tree and runs FKNN with the optimal  ${k}$  value for each testing sample. Moreover, a fast version of A-FKNN, namely, FA-FKNN, is designed by building the FA-FKNN decision tree, which stores the optimal k value with only a subset of training samples in each leaf node. Experimental results on 32 UCI datasets demonstrate that both A-FKNN and FA-FKNN outperform the compared methods in terms of classification accuracy, and FA-FKNN has a shorter running time.""",IEEE Transactions on Cybernetics
"""Study on Image recognition based on computer visual angle point detection""",S. Zhou;,2021,10.1109/ICMSSE53595.2021.00014,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9609252,Harris algorithm;corner detection;convolution neural network;sparse learning;image recognition;,"""Considering the objective change of human beings and the effect of temporal parallax, it is difficult to extract the required feature points accurately and recognize the recognition algorithm. In order to obtain effective special feature points, the depth perception mechanism of HVS is simulated, and the robustness of the recognition system is improved by corner detection of facial images. Three-dimensional imaging effect is simulated by two-dimensional image processing method, and image matching is carried out by sparse learning, clustering and other algorithms to reduce error samples and complete identification test.""",2021 International Conference on Management Science and Software Engineering (ICMSSE)
"""Maximally Sparse, Steerable, and Nonsuperdirective Array Antennas via Convex Optimizations""",M. D’Urso; G. Prisco; R. M. Tumolo;,2016,10.1109/TAP.2016.2586490,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=7502084,$ell _{0}$ -norm;active electronically scanned array (AESA) antennas;cardinality constraints;compressed sensing;convex optimization;sparse array;,"""Achieving the minimum number of radiating elements in the active electronically scanned array synthesis represents a key problem in those applications where the power consumption, the weight, and the hardware/software complexity of the radiating system have a strong impact on the system cost. In this paper, a new method for the synthesis of planar, nonsuperdirective, maximally sparse, and steerable arrays is proposed and tested on several benchmarks available in the open literature. The method optimizes simultaneously the weight coefficients and sensor positions of a planar array without using global optimization schemes, properly exploiting convex optimization based algorithms. The resulting arrays are able to radiate a steerable beam pattern, satisfying a prescribed power mask and avoid to constraint the fitting of any a priori assigned reference field pattern. Several tests are presented to show the high efficiency in achieving the desired steerable radiation pattern with the minimum number of antenna elements.""",IEEE Transactions on Antennas and Propagation
"""Adding user unique capabilities to 'LtoM'""",J. Singleton; J. Mikolaj;,2000,10.1109/AUTEST.2000.885595,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=885595,;,"""The introduction of the M9-Series test instrument and the Re-Configurable Transportable Consolidated Automated Support System (RTCASS) required the development of a process to migrate CASS L-Series Digital Test Program code to the RTCASS M-Series Instrument. The RTCASS DTI development team utilized Teradyne LtoM Translation Software, supporting CShell dynamic linked library and user written support software to produce an L-Series like ANSI-C Test Program. This paper presents the process used by the RTCASS DTI development team to meet L-Series software and hardware requirements on WinNT and M-Series instrument.""",2000 IEEE Autotestcon Proceedings. IEEE Systems Readiness Technology Conference. Future Sustainment for Military Aerospace (Cat. No.00CH37057)
"""A constrained sparse representation approach for video anomaly detection""",Yugen Yi; Xiaohui Li; Rui Zhao; Chao Bi; Jianzhong Wang; Hui Sun;,2016,10.1109/IMCEC.2016.7867110,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=7867110,local geometrical structure;sparse representation;abnormal event detection;,"""Sparse representation based anomaly detection algorithms have received a widely interest in recent years. However, most of the existing approaches fail to pay attention to the manifold structure of the video data, which has been pointed to be important for data representation. To overcome this limitation, we develop a new sparse coding algorithm named constrained sparse representation (CSR) for video anomaly detection, which explicitly takes the manifold structure of data into account. CSR assumes that each sample's sparse coding coefficient can be linearly reconstructed by the coding coefficients of its neighbors. Therefore, CSR algorithm can obtain relatively smoothly sparse representations along the manifold of data. We apply the proposed CSR model to video abnormal event detection task and conduct extensive experiments on the UMN database. The experimental results demonstrate that our proposed CSR model performed better than some related algorithms.""","2016 IEEE Advanced Information Management, Communicates, Electronic and Automation Control Conference (IMCEC)"
"""Adaptive Gaussian Regularization Constrained Sparse Subspace Clustering for Image Segmentation""",S. Song; D. Ren; Z. Jia; F. Shi;,2024,10.1109/ICASSP48485.2024.10446289,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10446289,SSC;Adaptive;l1-norm;Gaussian Regularization;Image Segmentation;,"""Sparse Subspace Clustering (SSC) is integral to image processing, drawing from spectral clustering foundations. However, prevalent methods, relying on an l1-norm constraint, fail to capture nuanced inter-region correlations, affecting segmentation efficacy. To remedy this, we introduce an Adaptive Gaussian Regularization Constrained SSC for enhanced image segmentation. This method begins with superpixel preprocessing to enrich local information. Given the Gaussian nature of the SSC’s sparse coefficient matrix, a Gaussian probability density function is infused as a regularization term, reinforcing regional image ties and facilitating similarity matrix creation. Using spectral clustering, we then define superpixel clusters leading to the final segmentation. When tested against the BSDS500 and SBD datasets and other leading algorithms, our model showcases marked improvements in natural image segmentation.""","ICASSP 2024 - 2024 IEEE International Conference on Acoustics, Speech and Signal Processing (ICASSP)"
"""3D ear identification using LC-KSVD and local histograms of surface types""",Lida Li; L. Zhang; H. Li;,2015,10.1109/ICME.2015.7177475,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=7177475,3D ear;surface type;local histogram;LC-KSVD;sparse representation;,"""In this paper, we propose a novel 3D ear classification scheme, making use of the label consistent K-SVD (LC-KSVD) framework. As an effective supervised dictionary learning algorithm, LC-KSVD learns a compact discriminative dictionary for sparse coding and a multi-class linear classifier simultaneously. To use LC-KSVD, one key issue is how to extract feature vectors from 3D ear scans. To this end, we propose a block-wise statistics based scheme. Specifically, we divide a 3D ear ROI into blocks and extract a histogram of surface types from each block; histograms from all blocks are concatenated to form the desired feature vector. Feature vectors extracted in this way are highly discriminative and are robust to mere misalignment. Experimental results demonstrate that the proposed approach can achieve much better recognition accuracy than the other state-of-the-art methods. More importantly, its computational complexity is extremely low at the classification stage.""",2015 IEEE International Conference on Multimedia and Expo (ICME)
"""Sparse Bayesian Learning-Based Seismic Denoise by Using Physical Wavelet as Basis Functions""",L. Deng; S. Yuan; S. Wang;,2017,10.1109/LGRS.2017.2745564,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8036194,Denoising;physical wavelet;seismic data;sparse Bayesian learning (SBL);sparse representations;,"""Attenuating random noise is a fundamental yet necessary step for subsequent seismic image processing and interpretation. We introduce a sparse Bayesian learning (SBL)-based seismic denoise method by using the physical wavelet as the basis function. The physical wavelet estimated from seismic and well logging data can appropriately describe the characteristics of the seismic data. Thus, it is an appropriate choice of basis function. Moreover, the tradeoff regularization parameter for determining denoise quality can be adaptively estimated according to the updated data misfit and sparseness degree during the iterative process of the SBL algorithm. The motivation behind the denoise method using sparse representations is that seismic signals can be sparsely represented by using several physical wavelets, whereas noise cannot. Both synthetic and real seismic data examples are adopted to demonstrate the effectiveness of the method.""",IEEE Geoscience and Remote Sensing Letters
"""Research on Least Squares Support Vector Machine Combinatorial Optimization Algorithm""",L. Taian; W. Yunjia; L. Wentong;,2009,10.1109/IFCSTA.2009.116,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=5385037,Least squares support vector machine;Sparse method;Combinatorial optimization algorithm;Linear equations least squares support vector machine;,"""LS-SVM(least squares support vector machine) has been widely used in engineering practice. However, the solving of LS-SVM still remains difficult under the condition of large sample. Based on algorithm of combinatorial optimization, this paper put forward the combinatorial optimization least squares support vector machine algorithm. On several different data aggregation of dimensions, the numerical value experiment and comparison are carried out on traditional LS-SVM algorithm, COLS-SVM algorithm and its improvement algorithm. The numerical value test has shown that COLS-SVM algorithm and its improvement algorithm are effective and have certain advantages on time and regression accuracy, compared with traditional LS-SVM algorithm.""",2009 International Forum on Computer Science-Technology and Applications
"""Parallel Sparse LU Factorization With Machine-Learning Method on Multi-core Processors""",J. Zhou; W. Yang; M. Dai; Q. Cai; H. Wang; K. Li;,2021,10.1109/ICSAI53574.2021.9664163,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9664163,Multi-core;NUMA;LU factorization;Sparse matrix;Multifrontal method;Logistic regression;,"""Since the emergence of multi-core systems, many efforts must be taken to make existing software take advantage of these new architectures. We exploit dense matrix kernels and node parallelism in the sparse LU factorization, at the same time, also relying on third-party optimized multithreaded BLAS libraries. We introduce multi-threaded unified management mode and Task parallel optimization, targeting multi-core architectures. Our approach avoids a deep redesign and fully benefits from the numerical kernels and features of the original code. In this context, we propose simple approaches to take advantage of NUMA architectures. The performance gains are analyzed in detail on test problems, compared with MKL libraries.""",2021 7th International Conference on Systems and Informatics (ICSAI)
"""Signal Processing on Static and Dynamic 3D Meshes: Sparse Representations and Applications""",A. S. Lalos; E. Vlachos; G. Arvanitis; K. Moustakas; K. Berberidis;,2019,10.1109/ACCESS.2019.2894533,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8624249,Signal processing on static and dynamic meshes;sparse representation theory & algorithms;3D geometry acquisition and processing;,"""Nowadays, real-time 3D scanning and reconstruction becomes a requirement for a variety of interactive applications in various fields, including heritage science, gaming, engineering, landscape topography, and medicine. From the introduction of 3D scanning, which allowed the representation of real world or synthetic objects into the virtual world, hardware and software advances have seen tremendous progress. However, despite the continuous improvement of the new generation image sensors and acquisition techniques, the acquired data are often corrupted by the low-frequency noise, outliers, misalignment, missing data, and variations in point density. These effects are amplified if the low-cost sensors and hardware are being used (e.g., mobile devices); thus, the acquisition and communication cost per datum is driven to a minimum. This paper provides a comprehensive review of the ongoing efforts in geometry and signal processing, describing several models from a wide range of signal processing relevant tasks, such as robust principal component analysis, compressive sampling, and matrix completion. Various scalable architectures and optimization algorithms are analyzed and reviewed, revealing significant insights into the fundamental processing operations and the involved implementation tradeoffs. Moreover, the impact of sparse modeling and optimization tools to several 3D mesh processing tasks, such as completion of missing data, feature preserving noise removal, and rejection of outliers, is illustrated via test cases with several constraints posed by the arbitrarily complex animated scenarios. Finally, the identified limitations together with the potential open research directions are also presented for future research efforts toward modeling and optimization for static and dynamic 3D models.""",IEEE Access
"""Application of Sparse Identification of Nonlinear Dynamics (SINDy) Towards Modeling and Prediction of Potential Induced Degradation (PID) Susceptibility of Photovoltaic Modules""",F. F. Batayola; J. C. Jueco; X. J. P. Fernandez; M. A. Bariquit; F. M. M. Nacorda; J. R. H. Villamor; M. A. Radaza; W. M. O. Narvios;,2024,10.1109/ICCMSO61761.2024.00082,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10638362,Photovoltaic;Potential Induced Degradation (PID);Sparse Identification of Nonlinear Dynamics (SINDy);Computational Modelling;Dynamical System;,"""The process of Potential Induced Degradation (PID) occurs when a potential difference exists between the photovoltaic cells and the outer part of the modules, resulting in leakage currents and rapid temperature rise, eventually resulting in system failure and power losses. Using Sparse Identification of Nonlinear Dynamical Systems (SINDy), the paper developed a PID Susceptibility Prediction Model for photovoltaic (PV) modules. Our goal is to elucidate the nonlinear dynamics and interactions among key parameters contributing to PID susceptibility. PID susceptibility was determined to be significantly affected by temperature, relative humidity, voltage bias, and leakage current based on a thorough literature review. The model captures the nonlinear dynamics and interactions among the factors contributing to PID susceptibility with an MAE ≈ 0.35 and RMSE = 0.40. Temperature, relative humidity, voltage bias, and leakage current all significantly affected PID susceptibility. Temperature and relative humidity have the greatest influence, but their interactions are equally important. Voltage bias has a relatively small effect on PID degradation susceptibility, but it cannot be ignored. Experiment results demonstrate substantial proof to support the effectiveness of Sparse Identification of Nonlinear Dynamics (SINDy) to capture system dynamics and provide valuable tools for accurate predictions.""","2024 3rd International Conference on Computational Modelling, Simulation and Optimization (ICCMSO)"
"""WPU: A FPGA-based Scalable, Efficient and Software/Hardware Co-design Deep Neural Network Inference Acceleration Processor""",X. Xie; C. Wu;,2021,10.1109/HPBDIS53214.2021.9658451,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9658451,FPGA;Convolutional Neural Network;Sparse;Processor;,"""Convolutional neural network (CNN) based algorithms are becoming dominant in a broad range of applications. Due to the high computation requirement, accelerator design for CNN has drawn many research interests in recent years. Besides GPU and ASIC, FPGA is also a major resource for CNN computation due to its re-programmability and flexibility for architecture designs [9].In this paper, we propose a software-hardware combined CNN accelerator design for FPGAs. Our focus is on architecture design for computation efficiency per DSP and the adaptability for different sizes of FPGAs. We designed a scheme of network pruning algorithm which enables simpler sparse data selection logic in hardware. Our software-hardware combined solution achieves 4x computation speedup with the same number of DSPs. Full pipeline of data transferring and computing reduces the requirement of BRAM usage significantly. Our test on Yolo-v2 [8] network shows a DSP efficiency enhancement of 3x over RTX 2070 GPU and 58% over an existing FPGA design in [10], respectively.""",2021 International Conference on High Performance Big Data and Intelligent Systems (HPBD&IS)
"""Improving the locality of the sparse matrix-vector product on shared memory multiprocessors""",J. C. Pichel; D. B. Heras; J. C. Cabaleiro; F. F. Rivera;,2004,10.1109/EMPDP.2004.1271429,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=1271429,;,"""We extend a model of locality and the subsequent process of locality improvement previously developed for the case of sparse algebra codes in monoprocessors to the case of NUMA shared memory multiprocessors (SMPs). In particular the product of a sparse matrix by a dense vector (SpM/spl times/V) is studied. In the model, locality is established at run-time considering parameters that describe the structure of the sparse matrix involved in the computations. The problem of increasing the locality is formulated as a graph problem, whose solution indicates some appropriate reordering of rows and columns of the sparse matrix. The reordering algorithms were tested for a broad set of matrices. We have also performed a comparison with other reordering algorithms. The results lead to general conclusions about improving SMP performance for other sparse algebra codes.""","12th Euromicro Conference on Parallel, Distributed and Network-Based Processing, 2004. Proceedings."
"""Cloud-Based Actor Identification With Batch-Orthogonal Local-Sensitive Hashing and Sparse Representation""",G. Gao; C. H. Liu; M. Chen; S. Guo; K. K. Leung;,2016,10.1109/TMM.2016.2579305,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=7488194,Actor identification;cloud computing;locality-sensitive hashing;shot boundary detection;sparse representation;,"""Recognizing and retrieving multimedia content with movie/TV series actors, especially querying actor-specific videos in large scale video datasets, has attracted much attention in both the video processing and computer vision research field. However, many existing methods have low efficiency both in training and testing processes and also a less than satisfactory performance. Considering these challenges, in this paper, we propose an efficient cloud-based actor identification approach with batch-orthogonal local-sensitive hashing (BOLSH) and multi-task joint sparse representation classification. Our approach is featured by the following: 1) videos from movie/TV series are segmented into shots with the cloud-based shot boundary detection; 2) while faces in each shot are detected and tracked, the cloud-based BOLSH is then implemented on these faces for feature description; 3) the sparse representation is then adopted for actor identification in each shot; and 4) finally, a simple application, actor-specific shots retrieval is realized to verify our approach. We conduct extensive experiments and empirical evaluations on a large scale dataset, to demonstrate the satisfying performance of our approach considering both accuracy and efficiency.""",IEEE Transactions on Multimedia
"""Low Sidelobe Optimization Design of Conformal Sparse Array Antenna using Active Pattern""",L. Tang; X. Wang; Y. Lu; J. Ren; J. Qu;,2023,10.1109/CSRSWTC60855.2023.10426817,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10426817,reconfigurable;low sidelobe;conformal sparse array;weighted random sampling;,"""Aiming at the optimization problem of the sidelobe level of conformal sparse array antenna, a design method based on weighted random sampling and multi-population genetic algorithm is proposed in this paper. Firstly, under the condition of full array of conformal array antenna, the elements that have little influence on the radiation characteristics of the array is sparsified. Then, beam scanning and sidelobe level optimization are carried out on the sparse conformal array antenna. Due to the conformal and sparse requirements of the array, the radiation characteristics of each array element in the array antenna are different. The Active Element Pattern (AEP) of each array antenna unit is obtained by using ALTAIR FEKO software. In order to improve the optimization accuracy and efficiency, the genetic algorithm and the multi-population cooperative mechanism is used to optimize the array antenna unit. The radiation characteristics of the conformal sparse array antenna calculated by this method are in good agreement with the test results and have strong engineering application value.""",2023 Cross Strait Radio Science and Wireless Technology Conference (CSRSWTC)
