Item Title,Publication Title,Book Series Title,Journal Volume,Journal Issue,Item DOI,Authors,Publication Year,URL,Content Type
"Emulation of point cloud streaming over 5G network","International Journal of Information Technology","","16","4","10.1007/s41870-024-01736-x","Estabraq H. MakiyahNassr N. Khamees","2024","http://link.springer.com/article/10.1007/s41870-024-01736-x","Article"
"Algebraic aggregation of random forests: towards explainability and rapid evaluation","International Journal on Software Tools for Technology Transfer","","25","3","10.1007/s10009-021-00635-x","Frederik GossenBernhard Steffen","2023","http://link.springer.com/article/10.1007/s10009-021-00635-x","Article"
"Machine learning-based predictive modeling of student counseling gratification: a case study of Aligarh Muslim University","International Journal of Information Technology","","16","3","10.1007/s41870-023-01620-0","Ahmad Raza ShibliNoor FatimaMohammed SarimNabeela MasroorKhushnood Bilal","2024","http://link.springer.com/article/10.1007/s41870-023-01620-0","Article"
"Evaluation of various machine learning prediction methods for particulate matter 
              
                
              
              $$PM_{10}$$
              
                
                  P
                  
                    M
                    10
                  
                
              
             in Kuwait","International Journal of Information Technology","","15","8","10.1007/s41870-023-01521-2","Ahmad AlsaberReem AlsahliAhmad Al-SultanIyad Abu DoushKhalid SultanDhary AlkandaryEmmanuel CoffieParul Setiya","2023","http://link.springer.com/article/10.1007/s41870-023-01521-2","Article"
"Recognizing students emotions in game-based learning environment","International Journal of Information Technology","","","","10.1007/s41870-024-01802-4","Abir HamrouniFatima Bendella","2024","http://link.springer.com/article/10.1007/s41870-024-01802-4","Article"
"Development and optimization of deep convolutional neural network using Taguchi method for real-time electricity conservation system","International Journal of Information Technology","","15","3","10.1007/s41870-022-00983-0","S. UshasukhanyaS. JothilakshmiS. S. Sridhar","2023","http://link.springer.com/article/10.1007/s41870-022-00983-0","Article"
"HHO-ACO hybridized load balancing technique in cloud computing","International Journal of Information Technology","","15","3","10.1007/s41870-023-01159-0","Muruganandam SumathiNatarajan VijayarajSoosaimarian Peter RajaMurugesan Rajkamal","2023","http://link.springer.com/article/10.1007/s41870-023-01159-0","Article"
"Emergency events detection based on integration of federated learning and active learning","International Journal of Information Technology","","15","6","10.1007/s41870-023-01307-6","Khalid AlfalqiMartine Bellaiche","2023","http://link.springer.com/article/10.1007/s41870-023-01307-6","Article"
"Design and simulation of warp knitted fabrics using MATLAB: a framework for cleaner production","International Journal of Information Technology","","16","1","10.1007/s41870-023-01637-5","Marzan Mursalin JamiSk. Mohtasim BillahRony MiaWang WenSudipta DasWei KeTaosif AhmedYang Zhou","2024","http://link.springer.com/article/10.1007/s41870-023-01637-5","Article"
"Retroactive data structure for protein–protein interaction in lung cancer using Dijkstra algorithm","International Journal of Information Technology","","16","2","10.1007/s41870-023-01557-4","Prasanna Kumar RangarajanBharathi Mohan GurusamyElakkiya RajasekarSrisurya Ippatapu VenkataSpandana Chereddy","2024","http://link.springer.com/article/10.1007/s41870-023-01557-4","Article"
"Explainable cross-lingual depression identification based on multi-head attention networks in Thai context","International Journal of Information Technology","","","","10.1007/s41870-023-01512-3","Vajratiya VajrobolNitisha AggarwalUnmesh ShuklaGeetika Jain SaxenaSanjeev SinghAmit Pundir","2023","http://link.springer.com/article/10.1007/s41870-023-01512-3","Article"
"HXPY: A High-Performance Data Processing Package for Financial Time-Series Data","Journal of Computer Science and Technology","","38","1","10.1007/s11390-023-2879-5","Jiadong GuoJingshu PengHang YuanLionel Ming-shuan Ni","2023","http://link.springer.com/article/10.1007/s11390-023-2879-5","Article"
"Impounding behavioural connotations for hate speech analysis – a view towards criminal investigation using machine learning","International Journal of Information Technology","","16","3","10.1007/s41870-023-01500-7","BarkhashreeParneeta Dhaliwal","2024","http://link.springer.com/article/10.1007/s41870-023-01500-7","Article"
"Predicting physical computer systems performance and power from simulation systems using machine learning model","Computing","","105","5","10.1007/s00607-022-01066-5","Amit MankodiAmit BhattBhaskar Chaudhury","2023","http://link.springer.com/article/10.1007/s00607-022-01066-5","Article"
"Categorical learning for automated network traffic categorization for future generation networks in SDN","Computing","","106","5","10.1007/s00607-024-01277-y","Suguna ParamasivamR. Leela VelusamyJ. V. Nishaanth","2024","http://link.springer.com/article/10.1007/s00607-024-01277-y","Article"
"MR-AMFO-CNN:  An intelligent recommendation system using optimized deep learning classifications","International Journal of Information Technology","","15","7","10.1007/s41870-023-01416-2","Sunitha CheriyanK. Chitra","2023","http://link.springer.com/article/10.1007/s41870-023-01416-2","Article"
"An approach of a quantum-inspired document ranking algorithm by using feature selection methodology","International Journal of Information Technology","","15","8","10.1007/s41870-023-01543-w","Rupam BhagawatiThiruselvan Subramanian","2023","http://link.springer.com/article/10.1007/s41870-023-01543-w","Article"
"SMOTE and ExtraTreesRegressor based random forest technique for predicting Australian rainfall","International Journal of Information Technology","","15","3","10.1007/s41870-023-01185-y","Mariyam IrshadaV. Kumar","2023","http://link.springer.com/article/10.1007/s41870-023-01185-y","Article"
"PuzzleNet: Boundary-Aware Feature Matching for Non-Overlapping 3D Point Clouds Assembly","Journal of Computer Science and Technology","","38","3","10.1007/s11390-023-3127-8","Hao-Yu LiuJian-Wei GuoHai-Yong JiangYan-Chao LiuXiao-Peng ZhangDong-Ming Yan","2023","http://link.springer.com/article/10.1007/s11390-023-3127-8","Article"
"Modeling difficulties in creating conceptual data models","Software and Systems Modeling","","22","3","10.1007/s10270-022-01051-8","Kristina RosenthalStefan StreckerMonique Snoeck","2023","http://link.springer.com/article/10.1007/s10270-022-01051-8","Article"
"Automatic pattern-based consistency checking in model refactoring: introducing a formal behavioral preserving method","Innovations in Systems and Software Engineering","","20","1","10.1007/s11334-022-00525-8","Saeedeh Ghaedi HeidariShohreh Ajoudanian","2024","http://link.springer.com/article/10.1007/s11334-022-00525-8","Article"
"The power of AI in marketing: enhancing efficiency and improving customer perception through AI-generated storyboards","International Journal of Information Technology","","16","1","10.1007/s41870-023-01661-5","Atthawut ChaisatitkulKittikawin LuangngamkhumKanokthip NoulpumChutisant Kerdvibulvech","2024","http://link.springer.com/article/10.1007/s41870-023-01661-5","Article"
"Integrating fuzzy C-means clustering and fuzzy inference system for audiovisual quality of experience","International Journal of Information Technology","","16","4","10.1007/s41870-023-01562-7","Fatima BoudjeridaZahid AkhtarAtidel LahoulouSaloua Chettibi","2024","http://link.springer.com/article/10.1007/s41870-023-01562-7","Article"
"A secure algorithm using high-dimensional sine map for color image encryption","International Journal of Information Technology","","15","3","10.1007/s41870-023-01190-1","Bharti AhujaRajesh Doriya","2023","http://link.springer.com/article/10.1007/s41870-023-01190-1","Article"
"RC-Net: Row and Column Network with Text Feature for Parsing Floor Plan Images","Journal of Computer Science and Technology","","38","3","10.1007/s11390-023-3117-x","Teng WangWei-Liang MengZheng-Da LuJian-Wei GuoJun XiaoXiao-Peng Zhang","2023","http://link.springer.com/article/10.1007/s11390-023-3117-x","Article"
"Security assessment of operating system by using decision making algorithms","International Journal of Information Technology","","","","10.1007/s41870-023-01706-9","Prabhash Chandra PathakMohd NadeemSyed Anas Ansar","2024","http://link.springer.com/article/10.1007/s41870-023-01706-9","Article"
"Pilot based channel estimation of OFDM systems using deep learning techniques","International Journal of Information Technology","","15","2","10.1007/s41870-023-01155-4","B. NithyaD. BrijeshS. Karan KumarJ. Pathmakarthik","2023","http://link.springer.com/article/10.1007/s41870-023-01155-4","Article"
"Diffusive molecular communication for bacterium propagation over human gut track","International Journal of Information Technology","","16","5","10.1007/s41870-024-01841-x","Masood AsimRaghvendra JaiswalUrvashi ChughPrabhakar AgarwalS. Pratap Singh","2024","http://link.springer.com/article/10.1007/s41870-024-01841-x","Article"
"Identifying digital biomarkers in actigraph based sequential motor activity data for assessment of depression: a model evaluating SVM in LSTM extracted feature space","International Journal of Information Technology","","15","2","10.1007/s41870-023-01162-5","Anshika AroraPinaki ChakrabortyM. P. S. Bhatia","2023","http://link.springer.com/article/10.1007/s41870-023-01162-5","Article"
"Contract-based specification of mode-dependent timing behavior","Innovations in Systems and Software Engineering","","20","1","10.1007/s11334-023-00531-4","Janis KrögerBjörn KoopmannIngo StierandMartin Fränzle","2024","http://link.springer.com/article/10.1007/s11334-023-00531-4","Article"
"A triad ensemble learning framework for forecasting disengagement behaviour among employees using machine learning (ML) algorithms","International Journal of Information Technology","","16","5","10.1007/s41870-024-01797-y","Vishal VermaKumar Shalender","2024","http://link.springer.com/article/10.1007/s41870-024-01797-y","Article"
"Mconvkgc: a novel multi-channel convolutional model for knowledge graph completion","Computing","","106","3","10.1007/s00607-023-01247-w","Xiaochuan SunQi ChenMingxiang HaoYingqi LiBo Sun","2024","http://link.springer.com/article/10.1007/s00607-023-01247-w","Article"
"SAIH: A Scalable Evaluation Methodology for Understanding AI Performance Trend on HPC Systems","Journal of Computer Science and Technology","","39","2","10.1007/s11390-023-1840-y","Jiang-Su Du 杜江溯Dong-Sheng Li 李东升Ying-Peng Wen 文英鹏Jia-Zhi Jiang 江嘉治Dan Huang 黄　聃Xiang-Ke Liao 廖湘科Yu-Tong Lu 卢宇彤","2024","http://link.springer.com/article/10.1007/s11390-023-1840-y","Article"
"An intelligent healthcare system for predicting and preventing dengue virus infection","Computing","","105","3","10.1007/s00607-020-00877-8","Sandeep Kumar SoodVaishali SoodIsha MahajanSahil","2023","http://link.springer.com/article/10.1007/s00607-020-00877-8","Article"
"Side-Channel Analysis for the Re-Keying Protocol of Bluetooth Low Energy","Journal of Computer Science and Technology","","38","5","10.1007/s11390-022-1229-3","Pei CaoChi ZhangXiang-Jun LuHai-Ning LuDa-Wu Gu","2023","http://link.springer.com/article/10.1007/s11390-022-1229-3","Article"
"A manifesto for applicable formal methods","Software and Systems Modeling","","22","6","10.1007/s10270-023-01124-2","Mario GleirscherJaco van de PolJim Woodcock","2023","http://link.springer.com/article/10.1007/s10270-023-01124-2","Article"
"Mining User-Object Interaction Data for Student Modeling in Intelligent Learning Environments","Programming and Computer Software","","49","8","10.1134/S036176882308008X","J. G. Hernández-CalderónE. Benítez-GuerreroJ. R. Rojano-CáceresCarmen Mezura-Godoy","2023","http://link.springer.com/article/10.1134/S036176882308008X","Article"
"A priority aware local mutual exclusion algorithm for flying ad hoc networks","Computing","","106","3","10.1007/s00607-023-01250-1","Guruprasad KapileshSridhar DhanushVenkatesan Poovazhaki Gokula KannanViswasam Mary Anita Rajam","2024","http://link.springer.com/article/10.1007/s00607-023-01250-1","Article"
"Advances in automated support for requirements engineering: a systematic literature review","Requirements Engineering","","29","2","10.1007/s00766-023-00411-0","Muhammad Aminu UmarKevin Lano","2024","http://link.springer.com/article/10.1007/s00766-023-00411-0","Article"
"Adaptive configuration of IoT applications in the fog infrastructure","Computing","","105","12","10.1007/s00607-023-01191-9","Houda ChouatImed AbbassiMohamed GraietMario Südholt","2023","http://link.springer.com/article/10.1007/s00607-023-01191-9","Article"
"An energy-adaptive clustering method based on Taguchi-based-GWO optimizer for wireless sensor networks with a mobile sink","Computing","","105","8","10.1007/s00607-023-01168-8","ZhiSheng WangShu-Chuan ChuJianPo LiJeng-Shyang Pan","2023","http://link.springer.com/article/10.1007/s00607-023-01168-8","Article"
"Secure waste collection approach for smart cities","International Journal of Information Technology","","16","4","10.1007/s41870-024-01751-y","Radhika LamaSandip Karmakar","2024","http://link.springer.com/article/10.1007/s41870-024-01751-y","Article"
"An interpretable deep learning based approach for chronic obstructive pulmonary disease using explainable artificial intelligence","International Journal of Information Technology","","","","10.1007/s41870-023-01713-w","Lobna M. Abou El-MagdGhada DahyTamer Ahmed FarragAshraf DarwishAboul Ella Hassnien","2024","http://link.springer.com/article/10.1007/s41870-023-01713-w","Article"
"A graphical deep learning technique-based VNF dependencies for multi resource requirements prediction in virtualized environments","Computing","","106","2","10.1007/s00607-023-01225-2","Asma BelliliNadjia Kara","2024","http://link.springer.com/article/10.1007/s00607-023-01225-2","Article"
"Scheduling analysis and correction for dependent real-time tasks upon heterogeneous multiprocessor architectures","Computing","","106","3","10.1007/s00607-023-01237-y","Faten MrabetWalid KaramtiAdel Mahfoudhi","2024","http://link.springer.com/article/10.1007/s00607-023-01237-y","Article"
"From low-level programming to full-fledged industrial model-based development: the story of the Rubus Component Model","Software and Systems Modeling","","22","4","10.1007/s10270-023-01107-3","Alessio BucaioniFederico CiccozziAmleto Di SalleMikael Sjödin","2023","http://link.springer.com/article/10.1007/s10270-023-01107-3","Article"
"GShuttle: Optimizing Memory Access Efficiency for Graph Convolutional Neural Network Accelerators","Journal of Computer Science and Technology","","38","1","10.1007/s11390-023-2875-9","Jia-Jun LiKe WangHao ZhengAhmed Louri","2023","http://link.springer.com/article/10.1007/s11390-023-2875-9","Article"
"Automating case assessment in Ecuador’s legal system: a web-based application for COIP consultation","International Journal of Information Technology","","16","5","10.1007/s41870-024-01891-1","Francklin Rivas-EcheverríaLeo RamosBartolomé Gil-OsunaStalin ArciniegasEdison Alejandro Enríquez","2024","http://link.springer.com/article/10.1007/s41870-024-01891-1","Article"
"Neural machine translation for Indian language pair using hybrid attention mechanism","Innovations in Systems and Software Engineering","","20","2","10.1007/s11334-021-00429-z","Basab NathSunita SarkarSurajeet DasSomnath Mukhopadhyay","2024","http://link.springer.com/article/10.1007/s11334-021-00429-z","Article"
"Toeplitz matrices based key exchange protocol for the internet of things","International Journal of Information Technology","","16","1","10.1007/s41870-023-01608-w","Ponmaheshkumar APerumal R","2024","http://link.springer.com/article/10.1007/s41870-023-01608-w","Article"
"The missing piece: a distributed system-level diagnosis model for the implementation of unreliable failure detectors","Computing","","105","12","10.1007/s00607-023-01211-8","Elias P. Duarte Jr.Luiz A. RodriguesEdson T. CamargoRogério C. Turchetti","2023","http://link.springer.com/article/10.1007/s00607-023-01211-8","Article"
"CLPB: chaotic learner performance based behaviour","International Journal of Information Technology","","","","10.1007/s41870-024-01875-1","Dona A. FranciTarik A. Rashid","2024","http://link.springer.com/article/10.1007/s41870-024-01875-1","Article"
"Matyas–Meyer Oseas based device profiling for anomaly detection via deep reinforcement learning (MMODPAD-DRL) in zero trust security network","Computing","","106","6","10.1007/s00607-024-01269-y","Rajesh Kumar DhanarajAnamika SinghAnand Nayyar","2024","http://link.springer.com/article/10.1007/s00607-024-01269-y","Article"
"Predicting and classifying water quality, treatment, and usage: a comprehensive review","International Journal of Information Technology","","15","5","10.1007/s41870-023-01285-9","Yash SarangShruti DevlekarAnjali Yeole","2023","http://link.springer.com/article/10.1007/s41870-023-01285-9","Article"
"An approach for anti-forensic contrast enhancement detection using grey level co-occurrence matrix and Zernike moments","International Journal of Information Technology","","15","3","10.1007/s41870-023-01191-0","Neha GoelDinesh Ganotra","2023","http://link.springer.com/article/10.1007/s41870-023-01191-0","Article"
"A novel, low-cost, smart IoT based framework for fruit and vegetable quality detection during transit in India","International Journal of Information Technology","","15","3","10.1007/s41870-023-01177-y","Ritika WasonParul AroraAruna TomarDevansh Arora","2023","http://link.springer.com/article/10.1007/s41870-023-01177-y","Article"
"An automatic thaat and raga identification system using CNN-based models","Innovations in Systems and Software Engineering","","","","10.1007/s11334-023-00541-2","Surya MajumderAdrija Bhattacharya","2023","http://link.springer.com/article/10.1007/s11334-023-00541-2","Article"
"Fog-cloud scheduling simulator for reinforcement learning algorithms","International Journal of Information Technology","","","","10.1007/s41870-023-01479-1","Mustafa Ahmed Adnan Al-HashimiAmir Rizaan RahimanAbdullah MuhammedNor Asilah Wati Hamid","2023","http://link.springer.com/article/10.1007/s41870-023-01479-1","Article"
"Assessment of DevOps Lifecycle Phases and their Role in DevOps Implementation using Best–Worst MCDM","International Journal of Information Technology","","16","4","10.1007/s41870-023-01566-3","Ankur KumarMohammad NadeemMohammad Shameem","2024","http://link.springer.com/article/10.1007/s41870-023-01566-3","Article"
"DyPipe: A Holistic Approach to Accelerating Dynamic Neural Networks with Dynamic Pipelining","Journal of Computer Science and Technology","","38","4","10.1007/s11390-021-1161-y","Yi-Min ZhuangXing HuXiao-Bing ChenTian Zhi","2023","http://link.springer.com/article/10.1007/s11390-021-1161-y","Article"
"3Dimensional improvise clustering algorithm for unmanned aerial vehicles: 3DICA","International Journal of Information Technology","","16","4","10.1007/s41870-024-01748-7","Vinti GuptaDambarudhar Seth","2024","http://link.springer.com/article/10.1007/s41870-024-01748-7","Article"
"Closed-set automatic speaker identification using multi-scale recurrent networks in non-native children","International Journal of Information Technology","","15","3","10.1007/s41870-023-01224-8","Kodali RadhaMohan Bansal","2023","http://link.springer.com/article/10.1007/s41870-023-01224-8","Article"
"Quantized hashing: enabling resource-efficient deep learning models at the edge","International Journal of Information Technology","","16","4","10.1007/s41870-024-01767-4","Azra NazirRoohie Naaz MirShaima Qureshi","2024","http://link.springer.com/article/10.1007/s41870-024-01767-4","Article"
"An extended FMECA approach using new risk assessment and prioritization based approach","International Journal of Information Technology","","16","3","10.1007/s41870-023-01455-9","Mohammed ChennoufiAmmar Chakhrit","2024","http://link.springer.com/article/10.1007/s41870-023-01455-9","Article"
"Adder based digital control block for analog front end in biomedical applications","International Journal of Information Technology","","","","10.1007/s41870-024-01786-1","PrittyMansi Jhamb","2024","http://link.springer.com/article/10.1007/s41870-024-01786-1","Article"
"Portfolio management using Additive Ratio Assessment based stock selection and deep learning for prediction","International Journal of Information Technology","","15","8","10.1007/s41870-023-01493-3","Satya VermaSatya Prakash SahuTirath Prasad Sahu","2023","http://link.springer.com/article/10.1007/s41870-023-01493-3","Article"
"Leveraging Quantum computing for synthetic image generation and recognition with Generative Adversarial Networks and Convolutional Neural Networks","International Journal of Information Technology","","16","5","10.1007/s41870-024-01835-9","Roopa GolchhaGyanendra K. Verma","2024","http://link.springer.com/article/10.1007/s41870-024-01835-9","Article"
"Perspectives on AI artists in generating artwork in advertising industry","International Journal of Information Technology","","","","10.1007/s41870-024-01878-y","Patcharaphun PromsombutVarisara RungpanyaKotchakorn ChumworratayeeChutisant Kerdvibulvech","2024","http://link.springer.com/article/10.1007/s41870-024-01878-y","Article"
"BPCPR-FC: blockchain-based privacy preservation with confidentiality using proxy reencryption and ring signature in fog computing environments","International Journal of Information Technology","","15","6","10.1007/s41870-023-01373-w","Naveen Chandra GowdaA Bharathi Malakreddy","2023","http://link.springer.com/article/10.1007/s41870-023-01373-w","Article"
"An efficient IoT task scheduling algorithm in cloud environment using modified Firefly algorithm","International Journal of Information Technology","","","","10.1007/s41870-024-01758-5","Mohammad QasimMohammad Sajid","2024","http://link.springer.com/article/10.1007/s41870-024-01758-5","Article"
"Bidirectional attentional mechanism for Arabic chatbot","International Journal of Information Technology","","16","5","10.1007/s41870-024-01777-2","Farida YounessAyman ElshenawyMohamed Ashraf Makour","2024","http://link.springer.com/article/10.1007/s41870-024-01777-2","Article"
"Validation and verification in domain-specific modeling method engineering: an integrated life-cycle view","Software and Systems Modeling","","22","2","10.1007/s10270-022-01056-3","Qin MaMonika Kaczmarek-HeßSybren de Kinderen","2023","http://link.springer.com/article/10.1007/s10270-022-01056-3","Article"
"MTFP: matrix-based task-fog pairing method for task scheduling in fog computing","International Journal of Information Technology","","16","5","10.1007/s41870-024-01817-x","Navjeet KaurAyush Mittal","2024","http://link.springer.com/article/10.1007/s41870-024-01817-x","Article"
"A solution for resource allocation through complex systems in fog computing for the internet of things","Computing","","106","7","10.1007/s00607-023-01199-1","Fatimah FarajiAmir JavadpourArun Kumar SangaiahHadi Zavieh","2024","http://link.springer.com/article/10.1007/s00607-023-01199-1","Article"
"altiro3d: scene representation from single image and novel view synthesis","International Journal of Information Technology","","16","1","10.1007/s41870-023-01590-3","L. TenzeE. Canessa","2024","http://link.springer.com/article/10.1007/s41870-023-01590-3","Article"
"Convolutional neural network-based classifiers for liver tumor detection using computed tomography scans","Innovations in Systems and Software Engineering","","","","10.1007/s11334-023-00547-w","Yagnesh ChallagundlaTrilok Sai Charan TunuguntlaSindhu Gayathri TunuguntlaNagaraju Devarakonda","2023","http://link.springer.com/article/10.1007/s11334-023-00547-w","Article"
"Optimized principal vectors-based co-kurtosis pca and recurrent attention unit-based Classifier for optimal cardiac disease prediction in big data","International Journal of Information Technology","","","","10.1007/s41870-024-01970-3","J. S. T. M. Poovarasi","2024","http://link.springer.com/article/10.1007/s41870-024-01970-3","Article"
"Requirements engineering for sustainable software systems: a systematic mapping study","Requirements Engineering","","28","3","10.1007/s00766-023-00402-1","Peter BambazekIris GroherNorbert Seyff","2023","http://link.springer.com/article/10.1007/s00766-023-00402-1","Article"
"On the application of process management and process mining to Industry 4.0","Software and Systems Modeling","","","","10.1007/s10270-024-01175-z","Flavia MontiJerin George MathewFrancesco LeottaAgnes KoschmiderMassimo Mecella","2024","http://link.springer.com/article/10.1007/s10270-024-01175-z","Article"
"Secure data dissemination and routing in Internet of Things","International Journal of Information Technology","","","","10.1007/s41870-024-01848-4","S. GangadharaiahLokesh B. Bhajantri","2024","http://link.springer.com/article/10.1007/s41870-024-01848-4","Article"
"GOSVM: Gannet optimization based support vector machine for malicious attack detection in cloud environment","International Journal of Information Technology","","15","3","10.1007/s41870-023-01192-z","M. ArunkumarK. Ashok Kumar","2023","http://link.springer.com/article/10.1007/s41870-023-01192-z","Article"
"Authenticated key agreement scheme for IoT networks exploiting lightweight linear algebraic computations","International Journal of Information Technology","","15","4","10.1007/s41870-023-01202-0","Ajeet SinghVikas TiwariAppala Naidu Tentu","2023","http://link.springer.com/article/10.1007/s41870-023-01202-0","Article"
"Script independent text segmentation of document images using graph network based shortest path scheme","International Journal of Information Technology","","15","4","10.1007/s41870-023-01230-w","Parul SahareJitendra V. TembhurneMayur R. ParateTausif DiwanSanjay B. Dhok","2023","http://link.springer.com/article/10.1007/s41870-023-01230-w","Article"
"Power and area optimized adaptive Viterbi decoder for high speed communication applications","International Journal of Information Technology","","15","1","10.1007/s41870-022-01060-2","NamrathaMd. Bakhar","2023","http://link.springer.com/article/10.1007/s41870-022-01060-2","Article"
"High isolated two element MIMO antenna with novel isolator for WiFi, WLAN and wireless applications","International Journal of Information Technology","","16","1","10.1007/s41870-023-01520-3","Brijesh MishraShadab Azam SiddiqueRakesh Kumar SinghChandra BhanRam Racksha Tripathi","2024","http://link.springer.com/article/10.1007/s41870-023-01520-3","Article"
"Computerized segmentation of MR brain tumor: an integrated approach of multi-modal fusion and unsupervised clustering","International Journal of Information Technology","","16","2","10.1007/s41870-023-01669-x","K. G. LavanyaP. DhanalakshmiM. Nandhini","2024","http://link.springer.com/article/10.1007/s41870-023-01669-x","Article"
"Joint energy and latency-sensitive computation and communication resource allocation for multi-access edge computing in a two-tier 5G HetNet","International Journal of Information Technology","","15","1","10.1007/s41870-022-01037-1","Mobasshir MahbubBobby Barua","2023","http://link.springer.com/article/10.1007/s41870-022-01037-1","Article"
"Blockchain-based security framework for mitigating network attacks in multi-SDN controller environment","International Journal of Information Technology","","","","10.1007/s41870-024-01933-8","Pulkit OhriA. DanielSubhrendu Guha NeogiSunil Kumar Muttoo","2024","http://link.springer.com/article/10.1007/s41870-024-01933-8","Article"
"Brain-computer interface prototype to support upper limb rehabilitation processes in the human body","International Journal of Information Technology","","15","7","10.1007/s41870-023-01400-w","Daniela Camargo-VargasMauro Callejas-CuervoAndrea Catherine Alarcón-Aldana","2023","http://link.springer.com/article/10.1007/s41870-023-01400-w","Article"
"On the average time complexity of computation with random partition","Computing","","106","3","10.1007/s00607-023-01242-1","Mingxue LiaoPin Lv","2024","http://link.springer.com/article/10.1007/s00607-023-01242-1","Article"
"Security driven dynamic level scheduling under precedence constrained tasks in IaaS cloud","International Journal of Information Technology","","16","2","10.1007/s41870-023-01523-0","Mahfooz AlamMohammad ShahidSuhel MustajabFaisal Ahmad","2024","http://link.springer.com/article/10.1007/s41870-023-01523-0","Article"
"Mixed effects of cooperative/competitive gamification on language learning regarding engagement, foreign language enjoyment, and classroom social climate","International Journal of Information Technology","","","","10.1007/s41870-024-01976-x","Qi Zhang","2024","http://link.springer.com/article/10.1007/s41870-024-01976-x","Article"
"Enhancing the diagnosis of autism spectrum disorder using phenotypic, structural, and functional MRI data","Innovations in Systems and Software Engineering","","","","10.1007/s11334-023-00536-z","Nivedan YakolliV. AnushaAdnan Ahamed KhanA. ShubhashreeSubarna Chatterjee","2023","http://link.springer.com/article/10.1007/s11334-023-00536-z","Article"
"FQBDDA: fuzzy Q-learning based DDoS attack detection algorithm for cloud computing environment","International Journal of Information Technology","","16","2","10.1007/s41870-023-01509-y","Animesh KumarSandip DuttaPrashant Pranav","2024","http://link.springer.com/article/10.1007/s41870-023-01509-y","Article"
"OCR-MRD: performance analysis of different optical character recognition engines for medical report digitization","International Journal of Information Technology","","16","1","10.1007/s41870-023-01610-2","Pulkit BatraNimish PhalnikarDeepesh KurmiJitendra TembhurneParul SahareTausif Diwan","2024","http://link.springer.com/article/10.1007/s41870-023-01610-2","Article"
"Automatic attendance system based on CNN–LSTM and face recognition","International Journal of Information Technology","","16","3","10.1007/s41870-023-01495-1","Ashish Kumar ShuklaArchana ShuklaRaghvendra Singh","2024","http://link.springer.com/article/10.1007/s41870-023-01495-1","Article"
"Dynamic forest of random subsets-based one-time signature-based capability enhancing security architecture for named data networking","International Journal of Information Technology","","15","2","10.1007/s41870-021-00786-9","Varghese Jensy BabuM. Victor Jose","2023","http://link.springer.com/article/10.1007/s41870-021-00786-9","Article"
"Human health and real-time nitric acid detection in drinking water using optical fiber sensor","International Journal of Information Technology","","16","4","10.1007/s41870-023-01582-3","Jyoti GuptaPriyanka Gupta","2024","http://link.springer.com/article/10.1007/s41870-023-01582-3","Article"
"Performance evaluation of blockchain food supply chain management system: JkBFMs","Innovations in Systems and Software Engineering","","","","10.1007/s11334-024-00560-7","Naresh KumarChitresh BanerjeeMinu Bala","2024","http://link.springer.com/article/10.1007/s11334-024-00560-7","Article"
"IoT-based secure luggage storage kiosk","International Journal of Information Technology","","15","4","10.1007/s41870-023-01229-3","A. SubashC. S. Arvin DannyM. Vijayalakshmi","2023","http://link.springer.com/article/10.1007/s41870-023-01229-3","Article"
"An empirical investigation into the altering health perspectives in the internet of health things","International Journal of Information Technology","","15","1","10.1007/s41870-022-01035-3","Nour Mahmoud BahbouhSandra Sendra CompteJuan Valenzuela ValdesAdnan Ahmed Abi Sen","2023","http://link.springer.com/article/10.1007/s41870-022-01035-3","Article"
"Influence maximization in mobile social networks based on RWP-CELF","Computing","","106","6","10.1007/s00607-024-01276-z","Zhenyu XuXinxin ZhangMingzhi ChenLi Xu","2024","http://link.springer.com/article/10.1007/s00607-024-01276-z","Article"
"Contention-free dynamic task scheduling approach for network-on-chip based quad-core systems","International Journal of Information Technology","","16","2","10.1007/s41870-023-01542-x","Mohd FarooqAasim ZafarAbdus Samad","2024","http://link.springer.com/article/10.1007/s41870-023-01542-x","Article"
"Ebola optimization search algorithm for the enhancement of devops and cycle time reduction","International Journal of Information Technology","","15","3","10.1007/s41870-023-01217-7","S. R. DileepKumarJuby Mathew","2023","http://link.springer.com/article/10.1007/s41870-023-01217-7","Article"
"Multi-objective load balancing based on adaptive osprey optimization algorithm","International Journal of Information Technology","","","","10.1007/s41870-024-01823-z","Karthick PanneerselvamP. Prathap NayuduM. Sheerin BanuP. M Rekha","2024","http://link.springer.com/article/10.1007/s41870-024-01823-z","Article"
"Modified lightweight cryptography scheme and its applications in IoT environment","International Journal of Information Technology","","15","8","10.1007/s41870-023-01486-2","Nilufar YasminRicha Gupta","2023","http://link.springer.com/article/10.1007/s41870-023-01486-2","Article"
"Block chain-based decentralized public auditing for cloud storage with improved EIGAMAL encryption model","International Journal of Information Technology","","16","2","10.1007/s41870-023-01599-8","Dr R. Prasanna KumarShowri Rayalu Bandanadam","2024","http://link.springer.com/article/10.1007/s41870-023-01599-8","Article"
"A three-step SEM-Bayesian network approach for predicting the determinants of CloudIoT-based healthcare adoption","International Journal of Information Technology","","","","10.1007/s41870-024-01743-y","Iyad AltawaihaRodziah AtanRazali Bin YaakobRusli Bin Hj Abdullah","2024","http://link.springer.com/article/10.1007/s41870-024-01743-y","Article"
