Document Title,Authors,Author Affiliations,Publication Title,Date Added To Xplore,Publication Year,Volume,Issue,Start Page,End Page,Abstract,ISSN,ISBNs,DOI,Funding Information,PDF Link,Author Keywords,IEEE Terms,Mesh_Terms,Article Citation Count,Patent Citation Count,Reference Count,License,Online Date,Issue Date,Meeting Date,Publisher,Document Identifier,,
DeepLSH: Deep Locality-Sensitive Hash Learning for Fast and Efficient Near-Duplicate Crash Report Detection,Y. Remil; A. Bendimerad; R. Mathonat; C. Raissi; M. Kaytoue,"INSA Lyon, Infologic R&D, Bourg-Lès-Valence, France; Infologic R&D, Bourg-Lès-Valence, France; Infologic R&D, Bourg-Lès-Valence, France; Riot Games, Singapore; INSA Lyon, Infologic R&D, Bourg-Lès-Valence, France",2024 IEEE/ACM 46th International Conference on Software Engineering (ICSE),14 Jun 2024,2024,,,2445,2456,"Automatic crash bucketing is a crucial phase in the software de-velopment process for efficiently triaging bug reports. It generally consists in grouping similar reports through clustering techniques. However, with real-time streaming bug collection, systems are needed to quickly answer the question: What are the most similar bugs to a new one?, that is, efficiently find near-duplicates. It is thus natural to consider nearest neighbors search to tackle this problem and especially the well-known locality-sensitive hashing (LSH) to deal with large datasets due to its sublinear performance and theoretical guarantees on the similarity search accuracy. Surprisingly, LSH has not been considered in the crash bucketing literature. It is indeed not trivial to derive hash functions that satisfy the so-called locality-sensitive property for the most advanced crash bucketing metrics. Consequently, we study in this paper how to leverage LSH for this task. To be able to consider the most relevant metrics used in the literature, we introduce DeepLsh, a Siamese DNN architecture with an original loss function, that perfectly approximates the locality-sensitivity property even for Jaccard and Cosine metrics for which exact LSH solutions exist. We support this claim with a series of experiments on an original dataset, which we make available.",1558-1225,979-8-4007-0217-4,10.1145/3597503.3639146,,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10548326,Crash deduplication;Stack trace similarity;Approximate nearest neighbors;Locality-sensitive hashing;Siamese neural networks,Measurement;Hash functions;Computer bugs;Neural networks;Nearest neighbor methods;Search problems;Software,,,,41,,14 Jun 2024,,,IEEE,IEEE Conferences,,
Neuron Coverage-Guided Domain Generalization,C. X. Tian; H. Li; X. Xie; Y. Liu; S. Wang,"Department of Computer Science, City University of Hong Kong, Hong Kong SAR, China; Department of Electrical Engineering, City University of Hong Kong, Hong Kong SAR, China; School of Computing and Information Systems, Singapore Management University, Singapore; School of Computer Science and Engineering, Nanyang Technological University, Singapore; Department of Computer Science, City University of Hong Kong, Hong Kong SAR, China",IEEE Transactions on Pattern Analysis and Machine Intelligence,5 Dec 2022,2023,45,1,1302,1311,"This paper focuses on the domain generalization task where domain knowledge is unavailable, and even worse, only samples from a single domain can be utilized during training. Our motivation originates from the recent progresses in deep neural network (DNN) testing, which has shown that maximizing neuron coverage of DNN can help to explore possible defects of DNN (i.e., misclassification). More specifically, by treating the DNN as a program and each neuron as a functional point of the code, during the network training we aim to improve the generalization capability by maximizing the neuron coverage of DNN with the gradient similarity regularization between the original and augmented samples. As such, the decision behavior of the DNN is optimized, avoiding the arbitrary neurons that are deleterious for the unseen samples, and leading to the trained DNN that can be better generalized to out-of-distribution samples. Extensive studies on various domain generalization tasks based on both single and multiple domain(s) setting demonstrate the effectiveness of our proposed approach compared with state-of-the-art baseline methods. We also analyze our method by conducting visualization based on network dissection. The results further provide useful evidence on the rationality and effectiveness of our approach.",1939-3539,,10.1109/TPAMI.2022.3157441,National Natural Science Foundation of China(grant numbers:62022002); Hong Kong Research Grants Council(grant numbers:21211018); General Research Fund(grant numbers:11203220); CityU New Research Initiatives/Infrastructure Support(grant numbers:APRC 9610528); National Research Foundation(grant numbers:NRF2018NCR-NCR005-0001); NRF Investigatorship(grant numbers:NRFI06-2020-0022-0001); ,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9730006,Gradient similarity;neuron coverage;out-of-distribution,Neurons;Training;Task analysis;Semantics;Computer bugs;Training data;Software,,8,,59,IEEE,8 Mar 2022,,,IEEE,IEEE Journals,,
FLYOVER: A Model-Driven Method to Generate Diverse Highway Interchanges for Autonomous Vehicle Testing,Y. Zhou; G. Lin; Y. Tang; K. Yang; W. Jing; P. Zhang; J. Chen; L. Gong; Y. Liu,"School of Computer Science and Engineering, Nanyang Technological University, Singapore; DAMO Academy, Alibaba Group, China; Alibaba-NTU Singapore Joint Research Institute, Nanyang Technological University, Singapore; DAMO Academy, Alibaba Group, China; DAMO Academy, Alibaba Group, China; DAMO Academy, Alibaba Group, China; DAMO Academy, Alibaba Group, China; School of Mechanical Engineering, Shanghai Jiao Tong University, China; School of Computer Science and Engineering, Nanyang Technological University, Singapore",2023 IEEE International Conference on Robotics and Automation (ICRA),4 Jul 2023,2023,,,11389,11395,"It has become a consensus that autonomous vehicles (AVs) will first be widely deployed on highways. However, the complexity of highway interchanges becomes the bottleneck for their deployment. An AV should be sufficiently tested under different highway interchanges, which is still challenging due to the lack of available datasets containing diverse highway interchanges. In this paper, we propose a model-driven method, Flyover, to generate a dataset of diverse interchanges with measurable diversity coverage. First, Flyover uses a labeled digraph to model interchange topology. Second, Flyover takes real-world interchanges as input to guarantee topology practicality and extracts different topology equivalence classes by classifying corresponding topology models. Third, for each topology class, Flyover identifies the corresponding geometrical features for the ramps and generates concrete interchanges using k-way combinatorial coverage and differential evolution. To illustrate the diversity and applicability of the generated interchange dataset, we test the built-in traffic flow control algorithm in SUMO and the fuel-optimization trajectory tracking algorithm deployed to Alibaba's autonomous trucks on the dataset. The results show that except for the geometrical difference, the interchanges are diverse in throughput and fuel consumption under the traffic flow control and trajectory tracking algorithms, respectively.",,979-8-3503-2365-8,10.1109/ICRA48891.2023.10160868,Singapore National Research Foundation (NRF); ,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10160868,,Road transportation;Trajectory tracking;Roads;Urban areas;Feature extraction;Throughput;Topology,,2,,24,IEEE,4 Jul 2023,,,IEEE,IEEE Conferences,,
Developing Technical Skillsets in Diverse Audiences,J. P. Leidig,"School of Computing, Grand Valley State University","2023 IEEE VIS Workshop on Visualization Education, Literacy, and Activities (EduVis)",12 Dec 2023,2023,,,11,15,Designing courses that are taken by diverse student audiences is complicated by differing technical backgrounds and desired future roles. One proposed approach to course design bundles course assignments into parallel tracks for students to self-select and complete. An initial set of three tracks of computing laboratory-based assignments were developed and tested in the classroom. Each track option utilized different visualization software and libraries with a range of expected pre-requisite knowledge and technical abilities. Student and instructor reflections on the approach reinforced the suitability of a track-based course design to fulfill course objectives towards the education of diverse audiences.,,979-8-3503-3030-4,10.1109/EduVis60792.2023.00008,,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10343930,Diverse audiences;assignments;education,Computers;Human computer interaction;Visualization;Information science;Conferences;Software;Reflection,,,,8,IEEE,12 Dec 2023,,,IEEE,IEEE Conferences,,
Subjective Answer Grader using Semantic Similarity and Keyword Matching,S. Kripalani; T. Lipare; D. Kadam,"Department of Computer Engineering, Pune Institute of Computer Technology, Pune, India; Department of Computer Engineering, Pune Institute of Computer Technology, Pune, India; Department of Computer Engineering, Pune Institute of Computer Technology, Pune, India",2024 IEEE 9th International Conference for Convergence in Technology (I2CT),10 Jun 2024,2024,,,1,7,"Subjective exams and tests have been a staple metric of student evaluation. These tests require students to give brief theoretical responses to the questions. Evaluation of subjective responses is based on the presence of certain facts, keywords, phrases that need to be mentioned. Traditional assessment of these tests requires an examiner to affirm the understanding of concepts by students through their answers. The human-dependant evaluation, however, is tedious, time consuming and is rarely impartial. The time constraints often mean that the examiner is unable to provide a detailed feedback to each and every student. This calls for the need to develop an objective automated grader system, which can investigate and analyze the student performances by considering different facets of learning based on semantic similarity. The enhanced BERT model, which has been fine-tuned, is utilized to capture the semantic characteristics found in the student’s response. In order to achieve this, the model compares the student’s response with the model answer and generates a model score based on the comparison. This model score is boosted through a keyword matching algorithm, which emphasizes the factual information contained within the student’s response. These final similarity scores are employed to offer comprehensive feedback that illuminates the specific areas in which the student’s comprehension may be lacking. Finally, the proposed approach is compared to other renowned algorithms like Cosine Similarity, Word Mover’s Distance, Paraphrase-mpnet, and Multi-qa-mpnet. The proposed system yields an experimental Mean Absolute Error (MAE) of 2.11, which is significantly better as compared to other algorithms.",,979-8-3503-9447-4,10.1109/I2CT61223.2024.10543315,,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10543315,Subjective answer grading;Semantic similarity;Keyword matching;BERT;Deep learning;Natural language processing,Measurement;Flowcharts;Software algorithms;Semantics;Taxonomy;Prediction algorithms;Software,,,,16,IEEE,10 Jun 2024,,,IEEE,IEEE Conferences,,
Similarity Measurement on Logo Image Using CBIR (Content Base Image Retrieval) and CNN ResNet-18 Architecture,L. N. Rani; Y. Yuhandri,"Information System Computer Science Faculty, Universitas Putra Indonesia YPTK, Padang, Indonesia; Information Technology Computer Science Faculty, Universitas Putra Indonesia YPTK, Padang, Indonesia","2023 International Conference on Computer Science, Information Technology and Engineering (ICCoSITE)",23 May 2023,2023,,,228,233,"In this study aimed to measure the level of similarity between two logos, both those that look different and those that look the same. This can be realized by forming a logo image database that is stored in a logo image database derived from various existing logo image data. This research uses 4 logo images as data testing and 210 image data for the database as data training. All of the logo images used come from the Ministry of Law and Human Rights of the Republic of Indonesia (Kemenkumham RI) West Sumatra Regional Office. The size images are color images with a pixel size of 320 x 320 pixels, the purpose of which is for the process of dimensional uniformity of the images to be studied. This research uses Content Base Image Retrieval (CBIR) method to search for images from a large image database than using Convolutional Neural Network (CNN) type Residual Network (ResNet-18) Architecture to get the similarity score accurately. The result of this implementation is the formation of an automatic distribution of training images and validation images with 147 training image data values (70%) and 63 validation images (30%) of the 210 existing images. The result of this research is producing the algorithm to implement the method and the tool software application to measure the similarity of logo images. The accuracy of this tool is 93.65% with a total of 84 iterations.",,979-8-3503-2095-4,10.1109/ICCoSITE57641.2023.10127711,,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10127711,similarity measurement;logo image;CBIR Method;CNN Method;ResNet-18 Architecture,Training;Image retrieval;Software algorithms;Computer architecture;Feature extraction;Software;Convolutional neural networks,,,,32,IEEE,23 May 2023,,,IEEE,IEEE Conferences,,
Multi-view Subspace Clustering with Low-rank Kernel and High-order Similarity Learning,Y. Li; B. Wu; Y. Mei; J. Wang,"School of Information Engineering, Southwest University of Science and Technology, Mianyang, China; School of Information Engineering, Southwest University of Science and Technology, Mianyang, China; School of Information Engineering, Southwest University of Science and Technology, Mianyang, China; School of Information Engineering, Southwest University of Science and Technology, Mianyang, China",2023 6th International Conference on Software Engineering and Computer Science (CSECS),16 Feb 2024,2023,,,1,6,"Subspace clustering methods are effective ways to achieve clustering of high-dimensional data. The goal of current subspace clustering is to uncover potential structures hidden from diverse views, which can only be clustered in linear space. However, data points are typically collected from non-linear environments in real-world applications, leading to unsatisfactory clustering results. Such methods primarily focus on learning the direct similarity of the samples, ignoring the latent high-order correlations across views. As a result, it is challenging to visualize a distinct cluster structure. To this end, we offer a novel multi-view subspace clustering based on low-rank kernel and high-order similarity learning (LHMSC) in this paper. To mine the data worldwide structure in kernel space, the underlying consensus structure between various data points, and the inherent information of each view, it combines low-rank kernel learning and high-order similarity (HOS) learning into a single framework. Extensive tests on five real datasets reveal that our LHMSC method frequently outperforms state-of-the-art techniques.",,979-8-3503-0637-8,10.1109/CSECS60003.2023.10428552,,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10428552,subspace clustering;low-rank kernel;high-order similarity;self-expressiveness;multi-view data,Computer science;Correlation;Data visualization;Data mining;Kernel;Periodic structures;Software engineering,,,,22,IEEE,16 Feb 2024,,,IEEE,IEEE Conferences,,
Implementing Knuth-Morris-Pratt Algorithm in Detecting The Plagiarism of Document,L. Alfat; F. M. Faisal; K. P. S. Negara; M. R. Munggaran; Ihsan,"Department of Informatics, Universitas Pembangunan Jaya, South Tangerang, Indonesia; Department of Informatics, Universitas Pembangunan Jaya, South Tangerang, Indonesia; Department of Informatics, Universitas Pembangunan Jaya, South Tangerang, Indonesia; Department of Informatics, Universitas Pembangunan Jaya, South Tangerang, Indonesia; Department of Informatics, Universitas Pembangunan Jaya, South Tangerang, Indonesia","2023 10th International Conference on Information Technology, Computer, and Electrical Engineering (ICITACEE)",17 Oct 2023,2023,,,54,58,"In the internet dan data era, plagiarism is a big issue. Plagiarism cases are in text, audio, video, and picture file on the internet. Making a copy of other people’s work is a significant problem that might lead to law consequences. Some algorithms might work in detecting plagiarism. Algorithms would match the word or string to the database of publication. Researchers try to implement these algorithms to ease the plagiarism-checking process. This paper presents a plagiarism detection system that uses the Knuth-Morris-Pratt (KMP) algorithm. Users need to upload two documents before comparing. Program load the documents onto the computer. Then, it compares the word within two and presents the similarity to the user. It displays the number of plagiarized sentences in percentage. Based on the testing on 100-sentence documents, the algorithm can match a similar word and display it correctly. In conclusion, KMP works well as a plagiarism detector algorithm.",,979-8-3503-2272-9,10.1109/ICITACEE58587.2023.10276453,,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10276453,plagiarism;KMP;string matching;similarity detection,Electrical engineering;Electric potential;Databases;Plagiarism;Software algorithms;Detectors;Organizations,,,,12,IEEE,17 Oct 2023,,,IEEE,IEEE Conferences,,
Measuring of Scientific Document Abstraction Similarity Using Rabin-Karp and Poter Stemmer,A. D. Hartanto; Y. Pristyanto; A. N. Rohman; E. Pujastuti; A. Nurmasani; I. A. Astuti,"Department of Information System, Universitas Amikom Yogyakarta, Yogyakarta, Indonesia; Department of Information System, Universitas Amikom Yogyakarta, Yogyakarta, Indonesia; Department of Information System, Universitas Amikom Yogyakarta, Yogyakarta; Department of Information System, Universitas Amikom Yogyakarta, Yogyakarta, Indonesia; Department of Information System, Universitas Amikom Yogyakarta, Yogyakarta, Indonesia; Department of Information System, Universitas Amikom Yogyakarta, Yogyakarta, Indonesia","2023 International Conference on Informatics, Multimedia, Cyber and Informations System (ICIMCIS)",14 Dec 2023,2023,,,49,54,"Plagiarism is a plausible occurrence within the academic sphere. An evident instance involves the unauthorized replication of assignments in educational settings. To counteract such instances, there has been a contemporary advancement in systems aimed at curbing plagiarism. Nonetheless, subscribing to these systems for a fixed duration comes at a substantial cost. Hence, there arises a necessity for a freely accessible plagiarism detection system that is open to all individuals. In developing the system, of course, modeling must be done. in this study, it is proposed to use stemming Porter stemmer to overcome bi-language problems. Then for the similarity score model used Rabin-Karp and Porter Stemmer. The results will be compared with models in previous studies. Based on research that has been done using 50 sample data. The Rabin-Karp + Porter Stemmer model can perform better performance than the Rabin-Karp + Sastrawi Stemmer model, with a difference in similarity values of around 2-3 per cent. This result is also a significant difference based on the results of statistical testing using a t-test with an alpha value of 0.05. Further experimental research can be carried out using different models, such as winnowing and other models.",2837-5203,979-8-3503-0730-6,10.1109/ICIMCIS60089.2023.10348988,Kementerian Pendidikan; ,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10348988,Rabin-Karp;Stemming;Porter;Sastrawi;Text Processing,Costs;Statistical analysis;Plagiarism;Multimedia systems;Informatics,,,,25,IEEE,14 Dec 2023,,,IEEE,IEEE Conferences,,
"Augmented Reality Campus Exploration Application Incorporating Equity, Diversity, and Inclusion",P. Jindal; A. J. Park; E. Hwang,"Dept of Computer Engineering, Aligarh Muslim University, Aligarh, India; Dept of Mathematical Sciences, Trinity Western University, Langley, Canada; Dept of Apparel, Hsng, and Resource, Mgmt Virginia Tech, Blacksburg, USA",2023 15th International Conference on Computer and Automation Engineering (ICCAE),3 May 2023,2023,,,81,86,"Augmented Reality (AR) is one of the most promising technologies with many practical applications, enhancing/augmenting the real world with virtual information/objects. With advances in AR technology and affordable AR hardware, AR has widely been used in training, classroom education, entertainment, tourism, public safety, retail, and many others. This paper presents an AR application that provides real-time information for campus exploration incorporating Equity, Diversity, and Inclusion (EDI). Many mobile AR applications have been developed for campus tours to help new students and visitors identify campus buildings and their services. However, from the User Experience (UX) design perspective, simply providing general information about each building may not be sufficient for students who need specific information based on their backgrounds and particular needs. The mobile AR application, TWUExplorAR, presented in this paper, incorporates the concept of EDI by overlaying the landmark information tailored to each user’s background and needs, thus improving UX. The paper outlines the background and related work, describes the development of the AR application, illustrates the incorporation of EDI in the application, summarizes the usability tests, and suggests future improvements.",2154-4360,979-8-3503-9622-5,10.1109/ICCAE56788.2023.10111189,,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10111189,augmented reality (AR);equity;diversity;and inclusiveness (EDI);global positioning system (GPS);point of interest (POI),Training;Automation;Buildings;Entertainment industry;User experience;Real-time systems;Hardware,,1,,23,IEEE,3 May 2023,,,IEEE,IEEE Conferences,,
Hybrid Algorithm of Locust Swarm and Spider Colony for Global Optimization Problems,S. Rodzin; O. Rodzina,"Department of Software Engineering, Southern Federal University, Taganrog, Russia; Department of Software Engineering, Southern Federal University, Taganrog, Russia",2024 7th International Conference on Information Technologies in Engineering Education (Inforino),13 Jun 2024,2024,,,1,6,"Nature-inspired algorithms demonstrate great potential for solving complex search engine optimization problems in engineering calculations and design of large and small energy facilities, including renewable energy sources. In this paper, we propose a novel hybrid algorithm that models the behavior patterns of a locust swarm and a spider colony to efficiently solve global optimization problems of multivariate multi-extremal functions. The modified locust swarm algorithm avoids concentration of individuals at the current best positions, reduces the probability of premature convergence, and maintains the intensification/diversification balance. The modified spider colony algorithm models two unique behavior patterns, allows diversification of the search space for the optimal solution, and acts as a filter to reduce the influence of very good or bad solutions on the search process. Hybridization of the modified algorithms is done by combining them sequentially (preprocessor/post-processor). We experimentally tested the algorithm on seven known multivariate functions. We compared the results with competing algorithms for particle swarm, differential evolution, and colony of bees. The proposed algorithm provides better results for all considered functions. Checking the statistical significance of the results obtained using the Wilcoxon rank sum test for independent samples showed that the algorithm results are statistically significant.",,979-8-3503-7136-9,10.1109/Inforino60363.2024.10552010,Russian Science Foundation; ,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10552010,algorithm;global optimum;agent;locust swarm;spider colony;behavior pattern;search intensification;search diversification;test function;Wilcowon test,Memetics;Renewable energy sources;Heuristic algorithms;Metaheuristics;Search engines;Search problems;Particle swarm optimization,,,,16,IEEE,13 Jun 2024,,,IEEE,IEEE Conferences,,
iASTMapper: An Iterative Similarity-Based Abstract Syntax Tree Mapping Algorithm,N. Zhang; Q. Chen; Z. Zheng; Y. Zou,"Sun Yat-sen University, China; Sun Yat-sen University, China; Sun Yat-sen University, China; Queen's University, Canada",2023 38th IEEE/ACM International Conference on Automated Software Engineering (ASE),8 Nov 2023,2023,,,863,874,"Abstract syntax tree (AST) mapping algorithms are widely used to locate the code changes in a file revision by mapping the AST nodes of the source code before and after the code changes. A recent differential testing of three state-of- the-art AST mapping algorithms, i.e., GumTree, MTDiff, and IJM, reveals that the algorithms generate inaccurate mappings for a considerable number of file revisions. We find that the inaccurate mappings could be caused by the mutual influence: the mappings of lower-level AST nodes (e.g., tokens) have impacts on the mappings of higher-level AST nodes (e.g., statements) and vice versa. This mutual influence issue is rarely considered by existing algorithms. In this paper, we propose an algorithm, called iASTMapper, that iteratively map two ASTs based on the similarities between AST nodes. Given a file revision, we extract three types of AST nodes in different levels of program structures (i.e., tokens, statements, and inner-statements) from the ASTs of the two source code files. We first build mappings of the unchanged statements and inner-statements. Then, we use an iterative method to map the rest of the nodes without mapping. For each of the three types of nodes, we iteratively map the nodes based on their similarities measured using heuristic rules. We further use an iterative mechanism to connect the three iterative mapping processes by considering the mutual influence between the mappings of different types of nodes. Finally, a series of code edit actions are generated from the node mappings to help users understand and locate the code changes during revisions. We conduct experiments to compare iASTMapper with three baselines, i.e., GumTree, MTDiff, and IJM, by automatically evaluating 210,997 file revisions from ten Java projects. Furthermore, we manually evaluate the correctness of the code edit actions generated for 200 file revisions with 12 evaluators. The results demonstrate that iASTMapper outperforms the baselines. iASTMapper can generate shorter code edit actions by at least 1.29% than the baselines, with a high accuracy of 96.23%.",2643-1572,979-8-3503-2996-4,10.1109/ASE56229.2023.00178,,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10298413,AST mapping;Code change analysis,Java;Codes;Source coding;Software algorithms;Syntactics;Iterative algorithms;Testing,,,,36,IEEE,8 Nov 2023,,,IEEE,IEEE Conferences,,
BDGOA: A bot detection approach for GitHub OAuth Apps,Z. Liao; X. Huang; B. Zhang; J. Wu; Y. Cheng,"School of Computer Science and Engineering, Central South University, Changsha, China; School of Computer Science and Engineering, Central South University, Changsha, China; School of Computer Science and Engineering, Central South University, Changsha, China; School of Artificial Intelligence, Guilin University of Electronic Technology, Guilin, China; Hunan Glozeal Science and Technology Co., Ltd., Changsha, China",Intelligent and Converged Networks,16 Oct 2023,2023,4,3,181,197,"As various software bots are widely used in open source software repositories, some drawbacks are coming to light, such as giving newcomers non-positive feedback and misleading empirical studies of software engineering researchers. Several techniques have been proposed by researchers to perform bot detection, but most of them are limited to identifying bots performing specific activities, let alone distinguishing between GitHub App and OAuth App. In this paper, we propose a bot detection technique for OAuth App, named BDGOA. 24 features are used in BDGOA, which can be divided into three dimensions: account information, account activity, and text similarity. To better explore the behavioral features, we define a fine-grained classification of behavioral events and introduce self-similarity to quantify the repeatability of behavioral sequence. We leverage five machine learning classifiers on the benchmark dataset to conduct bot detection, and finally choose random forest as the classifier, which achieves the highest F1-score of 95.83%. The experimental results comparing with the state-of-the-art approaches also demonstrate the superiority of BDGOA.",2708-6240,,10.23919/ICN.2023.0006,,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10286551,Github;DevBots;machine learning;text similarity,Stability criteria;Stars;Benchmark testing;Chatbots;Feature extraction;Robustness;Behavioral sciences,,,,30,,16 Oct 2023,,,TUP,TUP Journals,,
A Comprehensive Study and Analysis Of Frequent Itemsets Mining Algorithms Using Diverse Real Datasets,A. Singla; P. Gandhi,"School of Computer Applications, Manav Rachna International Institute of Research and Studies (MRIIRS), Faridabad, India; School of Computer Applications, Manav Rachna International Institute of Research and Studies (MRIIRS), Faridabad, India","2023 International Conference on Advances in Computation, Communication and Information Technology (ICAICCIT)",20 Mar 2024,2023,,,174,180,"A focus of data mining research has been frequent pattern mining, which has grown in importance as a data mining task. Frequent pattern mining techniques are extensively studied in numerous domains, including market basket data analysis, data mining, recommender system, web log mining, sequential pattern mining, and software bug detection. In frequent itemset mining, the support-based framework is frequently used to find itemsets with a frequency over a predetermined threshold. Apriori, FP-Growth, Eclat, FP-Max, SaM and Relim are a few of the FPM algorithms that have been created to efficiently search for frequent itemsets in datasets. While FP-Growth utilizes a tree-based approach and does not require candidate generation, the Apriori method generates candidate itemsets using a level- wise search strategy and the Apriori property. Eclat employs an equivalence class clustering and lattice traversal technique, while FP-Max focuses on mining maximal frequent itemsets. Relim is a list-based, result-driven mining technique, while SaM is used to mine associative rules. A review and comparison of numerous frequent pattern mining algorithms, including Apriori, FP- growth, Eclat, FP-max, COFI, SaM, and ReLim, are presented in this paper. Using a variety of real-time datasets with unique properties, we provide an in-depth study of these frequent itemset mining algorithms. The algorithms are evaluated according to factors such as the total number of database scans needed, candidate generation techniques, and sensitivity to changes in user-defined parameters like support. Real-life datasets including Chess, Retail, Kaggle, Market Basket, and Technical datasets, are used for the analysis. The results emphasize each algorithm’s insights into how effective and efficient each algorithm is. The objective of the present research is to increase effectiveness and efficiency frequent pattern mining algorithms. In this paper we are presenting a comparative study and analysis of apriori algorithm, fp-growth, Fp-max, Eclat, SaM, ReLim algorithm. Python and the Anaconda environment are used to carry out the analysis and comparison of FIM algorithms. This research aims to contribute to the development of more effective frequent pattern mining algorithm.",,979-8-3503-4438-7,10.1109/ICAICCIT60255.2023.10466004,,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10466004,Data mining;Frequent patterns;Frequent pattern mining (FPM);support;itemset;Apriori;Eclat;FP-Max;SaM;Relim,Sensitivity;Itemsets;Databases;Software algorithms;Computer bugs;Clustering algorithms;Software,,,,30,IEEE,20 Mar 2024,,,IEEE,IEEE Conferences,,
Novel Surrogate Measures Based on a Similarity Network for Neural Architecture Search,Z. Kuş; C. Akkan; A. Gülcü,"Department of Computer Engineering, Fatih Sultan Mehmet University, Beyoğlu, Istanbul, Turkey; Sabancı Business School, Sabancı University, Tuzla, Istanbul, Turkey; Department of Software Engineering, Bahçeşehir University, Beçiktaş, Istanbul, Turkey",IEEE Access,9 Mar 2023,2023,11,,22596,22613,"We propose two novel surrogate measures to predict the validation accuracy of the classification produced by a given neural architecture, thus eliminating the need to train it, in order to speed up neural architecture search (NAS). The surrogate measures are based on a solution similarity network, where distance between solutions is measured using the binary encoding of some graph sub-components of the neural architectures. These surrogate measures are implemented within local search and differential evolution algorithms and tested on NAS-Bench-101 and NAS-Bench-301 datasets. The results show that the performance of the similarity-network-based predictors, as measured by correlation between predicted and true accuracy values, are comparable to the state-of-the-art predictors in the literature, however they are significantly faster in achieving these high correlation values for NAS-Bench-101. Furthermore, in some cases, the use of these predictors significantly improves the search performance of the equivalent algorithm (differential evolution or local search) that does not use the predictor.",2169-3536,,10.1109/ACCESS.2023.3252887,,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10058912,Neural architecture search;surrogate model;similarity-based prediction;evolutionary algorithm,Computer architecture;Prediction algorithms;Predictive models;Benchmark testing;Correlation;Encoding;Computational modeling,,,,40,CCBYNCND,6 Mar 2023,,,IEEE,IEEE Journals,,
Experimental Test of a Frequency Diverse Array Radar Target Detection System Using SDRs: Preliminary Results,N. R. Munson; B. Correll; R. M. Narayanan; T. D. Bufler,"The Pennsylvania State University, University Park, PA; Maxar Intelligence, Ypsilanti, MI; The Pennsylvania State University, University Park, PA; The Pennsylvania State Applied Research Lab, State College, PA",2024 IEEE Radar Conference (RadarConf24),13 Jun 2024,2024,,,1,6,"Frequency diverse arrays (FDA) can be configured to simultaneously scan in both range and angle using small frequency offsets across radiating elements. The theoretical abilities of these systems have been explored in the literature, yet we know of only two FDA prototypes built since 2009. This work describes the hardware implementation of a fully coherent and highly flexible FDA radar at 2 GHz that uses software defined radios. Data collected using far-field probes and target return echoes confirm expected theoretical properties of the far-field pattern and demonstrate the utility of the designed system for use as a beacon or for volume scanning.",2375-5318,979-8-3503-2920-9,10.1109/RadarConf2458775.2024.10548270,,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10548270,,Radar detection;Prototypes;Radar;Object detection;Frequency diversity;Hardware;Arrays,,1,,16,IEEE,13 Jun 2024,,,IEEE,IEEE Conferences,,
